,0,1,2,3,4,5,6,7,8,9
2NE1,"""내가 제일 잘 나가 (I Am the Best)"" by 2NE1:
    내가 제일 잘 나가
    내가 제일 잘 나가
    내가 제일 잘 나가
    내가 제일 잘 나가
    제 제 제일 잘 나가 (Beat!)
    
    Bam, ra-ta-ta-ta, ta-ta-ta-ta-ta (B...","""Come Back Home"" by 2NE1:
    One two three
    넌 나를 떠났지만
    어딘가에서 너의 숨소리가
    들려와
    또 다시 Four five six
    빨간 눈물이 내려와
    나를 안던 너의 향기가 그립다
    나를 위한 거라 했던...",,"""2NE1 - 멘붕 (CL SOLO) (English Translation)"" by Genius English Translations:
    Mental Breakdown
    Mental
    Watch over the power of this vibration
    This feeling that rides down your spi...","""Fire"" by 2NE1:
    I go by the name CL of 2NE1
    It's been a long time comin’ but we here now
    And we 'bout to set the roo...","""안녕 (Goodbye)"" by 2NE1:
    가지 마
    날 버리고 가겠다는 말은 하지 마
    기억 속 나를 두고 떠나지 마
    널 잡을 수 없는 내 눈을 보지 마
    그냥 가지 마
    
    속지 마
    겨우 이런 유혹에 넘어가지 마
    모든 게 영원하...","""너 아님 안돼 (Gotta Be You)"" by 2NE1:
    널 향해 지금 외쳐
    그전처럼 let’s go
    앞으로 rewind
    처음으로 X O
    
    새로운 만남은 싫어 왠지 몰라도
    여전히 네가 많이 미워 아직도
    운명 같던 만남이
    이젠 님에서 남이...","""Go Away"" by 2NE1:
    너무 치사하잖아 너답지 못하잖아
    지금 적응이 안돼 어지러워 왜
    누가 누구랑 헤어져 네가 나랑 헤어져
    잘 생각하고 말해, yeah
    날 따라다니던 남자 참 괜찮았던 남자
    난 너 하나 ...","""Falling In Love"" by 2NE1:
    You ready? You ready?
    Are you ready? You ain’t ready!
    Touch me over here
    Touch me touch me over ther...","""I Don’t Care"" by 2NE1:
    Hey playboy, its about time and your time's up
    I had to do this one for my girls you know
    Sometimes ..."
3,"""Discography (1999-2015)"" by Shady Records:
    1999Eminem - The Slim Shady LP
    Released: February 23, 1999
    2000Eminem - The Marshall Mathers LP
    Rele...","""34+35"" by Ariana Grande:
    Hmm
    
    You might think I'm crazy
    The way I've been cravin'
    If I put it quite plainly
    Just gimme them b...","""$400 Nod Out"" by The Assistant (band):
    JAY: In this gameshow moneymaker, you insisted on playing the host. So let's go by your rules now. I...","""New Music Friday 05/08/20"" by Spotify:
    Ariana Grande - Stuck with U (with Justin Bieber)
    Kehlani - Can I (feat. Tory Lanez)
    Lil Tjay - Zoo ...","""Artist Archive: Ariana Grande"" by Genius:
    10/30/20 positions album releases, Zach Sang interview premieres
    10/23/20 ""positions"" single release...","""New Music Friday 05/22/20"" by Spotify:
    Lady Gaga - Rain On Me (with Ariana Grande)
    The 1975 - Tonight (I Wish I Was Your Boy)
    Gunna - COOLE...","""POV"" by FEVER 333:
    This black cat infection is spreading mad fast
    Look at that; from simple symptoms to hazmat
    Don't as...","""New Music Friday 1/15/21"" by Spotify:
    Bad Boy (with Young Thug) - Juice WRLD
    Roaring 20s - Flo Milli
    Girls Like Us - Zoe Wees
    Masterpiece ...","""New Music Friday 10/30/20"" by Spotify:
    34+35 - Ariana Grande
    Never Change (feat. Future) - Trippie Redd
    Kids Again - Sam Smith
    Fever - Dua ...","""2020 Album Release Calendar Ireland"" by Genius Ireland:
    January8/1: Hazey Haze - Is Mise 🇮🇪🐚
    8/1: Laurie Shaw - Easy Singles 🇮🇪🐚
    10/1: David Keenan - A Begi..."
347aidan,"""Dancing in My Room"" by 347aidan:
    Ah, yeah, na-na, na-na, yeah
    Na, na-na, na-na-na-na, na-na (Ahh)
    Damn, Aidan, what you up to, bro?
    W...","""Demons and Monsters"" by 347aidan:
    Yeah, nah, n-nah, nah, nah
    Yeah, nah, n-nah, nah, nah
    Nah, n-nah, nah, nah
    Yeah, nah, n-nah, nah, na...","""IDWK"" by 347aidan & Kenny Beats:
    (I don't wanna know, yeah)
    (Woah, Kenny!)
    
    Baby please don't tell me that, I don't wanna know
    Just g...","""WHEN THE DEVIL CRIES"" by 347aidan:
    Yeah, ayy
    No, no, no, no, no, no, no, yeah, yeah
    When the devil cries, will you let them in?
    If it w...","""Be Happy"" by 347aidan:
    I don't really care for that person anymore
    Put me down walked over me I'm walking out the door
    Laug...","""Till the Sun Comes"" by 347aidan:
    It's hard to uh
    Y'know if you ask me whats going on my head and just
    There's so much bullshit goin' ...","""SUNR!SE"" by 347aidan:
    Yuh, Hey, Yuh, Yuh, Aye, Yuh
    (GC on the track boy)
    
    I don't really know where my minds at
    I can't ev...","""Live How I Want"" by 347aidan:
    I gotta live how I want
    I gotta live how I want
    
    I gotta live how I want
    I better go out in style
    Gu...","""Elevate"" by 347aidan:
    I've seen some better days, I've seen some better days woah
    I need to elevate yuh
    Oh yeah, oh boy th...","""New Music Friday 10/02/20"" by Spotify:
    Wonder - Shawn Mendes
    Bet You Wanna (feat. Cardi B) - BLACKPINK
    Runnin - 21 Savage
    Don’t Stop (feat...."
3LAU,"""Everything"" by 3LAU & Funkin Matt:
    Am I everything you want
    Or just everything you wanted? Ah
    Said you loved me, we both know you lied
    ...","""Better With You"" by 3LAU & Justin Caruso:
    Last night I was messed up, but I hope you will forget
    Please do me a favor, erase the things I said...","""Apocalyptic"" by 3LAU:
    I cannot believe it
    What in the world is happening?
    You have got to be kidding
    Do you think I'm craz...","""New Music Friday 12/6/19"" by Spotify:
    Camila Cabello - My Oh My
    Harry Styles - Adore You
    Roddy Ricch - The Box
    NF - PAID MY DUES
    The Chain...","""Game Time"" by 3LAU:
    Three, two, one
    
    Three, two, one, let's go
    Game time
    Three, two, one
    It's game time
    
    Game time
    
    Thre...","""Touch"" by 3LAU:
    No talk, seven days
    Dead air, empty space
    Is this where we are now?
    Would call, but I don't
    You coul...","""Into You (3LAU Remix)"" by Ariana Grande:
    I'm so into you, I can barely breathe
    And all I wanna do is to fall in deep
    But close ain't close en...","""How You Love Me"" by 3LAU:
    Nobody's perfect I'll never try
    But I promise I'm worth it if you just open up your eyes
    I don't nee...",,"""Is It Love"" by 3LAU:
    How can I do this?
    I've never felt this way before
    You keep on staring at me
    And I can't take it any..."
4 Non Blondes,"""What’s Up?"" by 4 Non Blondes:
    25 years and my life is still
    Tryin' to get up that great big hill of hope
    For a destination
    I reali...","""Spaceman"" by 4 Non Blondes:
    Starry night bring me down
    Till I realize the moon
    It seems so distant yet
    I felt it pass right thro...","""Pleasantly Blue"" by 4 Non Blondes:
    Every time you wake in the morning
    And you start to cry
    And I figure there's something up baby
    But y...","""Dear Mr. President"" by 4 Non Blondes:
    I'm looking outside of my window
    The view that I see
    Is a child and mama
    And the child is begging fo...","""Morphine Chocolate"" by 4 Non Blondes:
    Substitute my gloom with happiness
    Substitute my sickness with health
    Substitute my enemies with rea...","""Drifting"" by 4 Non Blondes:
    What a wonderful hesitation
    Who would bear to feel sorry for me
    Dropped another pill just to calm me...","""Train"" by 4 Non Blondes:
    Whatcha gonna do child
    When your thoughts are movin' slow?
    Find another to show you where to go
    (And...","""Superfly"" by 4 Non Blondes:
    Here I am and I'm waitin' on a chance to make it right
    Every word you say makes my heart go bang ban...","""Old Mr. Heffer"" by 4 Non Blondes:
    Stumbled my way on the darkest afternoon
    I got a beer in my hand and I'm draggin' a stoagle too
    The ...","""Calling All The People"" by 4 Non Blondes:
    How can you tell
    When your wellness is not well
    Make no mistakes now
    Please do excuse
    My itchy attit..."
42 Dugg,"""Rap Life 4/2/2021"" by Apple Music:
    1. Lil Tjay- Run It Up (feat. Offset & Moneybagg Yo)
    2. Lil Baby- On Me
    3. Moneybagg Yo- Time Today
    ...","""Out The Mud 1/29/21"" by Spotify:
    1. DaBaby- 8 Figures (feat. Meek Mill)
    2. Lil Durk- Finesse Out The Gang Way (feat. Lil Baby)
    3. Sli...","""This Is Lil Baby"" by Spotify:
    1. Lil Baby- All In
    2. Lil Baby- Errbody
    3. Lil Baby- On Me
    4. Drake- Wants and Needs (feat. Lil Bab...","""RapCaviar 4/16/21"" by Spotify:
    1. Young Stoner Life, Young Thug & Gunna- Solid (feat. Drake)
    2. Polo G- RAPSTAR
    3. Drake- Wants and...","""This Is Lil Baby"" by Spotify:
    1. Lil Baby- All In
    2. Lil Baby- Errbody
    3. Lil Baby- On Me
    4. Drake- Wants and Needs (feat. Lil Bab...","""This Is Lil Baby"" by Spotify:
    1. Lil Baby- All In
    2. Lil Baby- Errbody
    3. Lil Baby- On Me
    4. Drake- Wants and Needs (feat. Lil Bab...","""December 2020 Singles Release Calendar"" by Genius:
    12/1
    Airospace - ""The Making of a Black Hole""
    Ant Clemons & Justin Timberlake - ""Better Days""
    Ariel ...","""My Trash Favorite Songs of 2020"" by Chams called me cutie at 11:05 pm on 4/15/21:
    January:
    Quando Rondo - Marvelous (feat. Polo G)
    Quando Rondo - Collect Calls
    Future - Life Is Good ...","""This Is Lil Baby"" by Spotify:
    1. Lil Baby- All In
    2. Lil Baby- Errbody
    3. Lil Baby- On Me
    4. Drake- Wants and Needs (feat. Lil Bab...","""This Is Lil Baby"" by Spotify:
    1. Lil Baby- All In
    2. Lil Baby- Errbody
    3. Lil Baby- On Me
    4. Drake- Wants and Needs (feat. Lil Bab..."
45,"""Shinedown Clean-Up"" by ​blazifyy:
    Currently reorganizing the layout of this page, excuse the mess
    Albums
    Extended Plays
    Singles
    Leave ...","""G’s"" by Scarface:
    (And meanwhile, on the Southside of town...)
    
    Now when you're rollin' through yo' muthafuckin' hood
    ...","""Devil And A .45"" by The Toasters:
    I kept a memory back from my early years
    A boat out to Cyprus with the Scottish Fusiliers
    I was two ...","""45"" by Shinedown:
    Send away for a priceless gift
    One not subtle, one not on the list
    Send away for a perfect world
    One...","""7:45"" by Monster X RemmiQue:
    ""Celebration, Good title nimo je yen
    Ti Eyan maape gbogbo oni fuji tomawa celebrate mi
    Ah! ntokan du...","""Shinedown Clean-Up"" by ​blazifyy:
    Currently reorganizing the layout of this page, excuse the mess
    Albums
    Extended Plays
    Singles
    Leave ...","""Shinedown Clean-Up"" by ​blazifyy:
    Currently reorganizing the layout of this page, excuse the mess
    Albums
    Extended Plays
    Singles
    Leave ...","""Shinedown Clean-Up"" by ​blazifyy:
    Currently reorganizing the layout of this page, excuse the mess
    Albums
    Extended Plays
    Singles
    Leave ...","""Shinedown Clean-Up"" by ​blazifyy:
    Currently reorganizing the layout of this page, excuse the mess
    Albums
    Extended Plays
    Singles
    Leave ...","""Ruff Zombies"" by Oriax:
    Stay alive that's the soldier's rule
    258 is where a nigga rules
    
    Since crossroads been a lost soul
    S..."
4D,,,,"""Es war nicht alles schlecht"" by Waving The Guns:
    Der obligatorische Viele-Featuregäste-Track, yeah
    4D Instrumentals
    
    Wir sind alle sauer, es ist Ende...","""4D"" by Northlane:
    I know what it was like to lose someone who raised you
    Did they still love you when they lost their ...","""Ulysses (Chap. 18 - Penelope)"" by James Joyce:
    YES BECAUSE HE NEVER DID A THING LIKE THAT BEFORE AS ASK TO get his breakfast in bed with a couple o...","""The  Marx-Engels Reader (Chapter 3)"" by Robert C. Tucker:
                                   Manifesto of the Communist Party
    In 1836 German radical workers livin...","""Animal Visual Systems and the Evolution of Color Patterns: Sensory Processing Illuminates Signal Evolution"" by John A. Endler, Joah R. Madden, David A. Westcott and Tim Robinson:
          Abstract. Animal color pattern phenotypes evolve rapidly. What influences their evolution? Bec...",,
50 Cent,"""This Is Pop Smoke"" by Spotify:
    1. Pop Smoke- AP (Music from the film Boogie)
    2. Pop Smoke- What You Know Bout Love
    3. Pop Smoke- He...","""This Is Pop Smoke"" by Spotify:
    1. Pop Smoke- AP (Music from the film Boogie)
    2. Pop Smoke- What You Know Bout Love
    3. Pop Smoke- He...","""This Is Pop Smoke"" by Spotify:
    1. Pop Smoke- AP (Music from the film Boogie)
    2. Pop Smoke- What You Know Bout Love
    3. Pop Smoke- He...","""Gemein wie 10"" by Bushido:
    Gut, es gefällt mir nicht, dass es inzwischen das Tollste ist schwarz zu sein. - Gut. - Ich hasse di...","""Highest To Lowest: Pop Smoke"" by Highest To Lowest:
    Pop Smoke's Songs: Highest To Lowest
    - For The Night (feat. Lil Baby & DaBaby) (570,027,511)
    - What ...","""This Is Pop Smoke"" by Spotify:
    1. Pop Smoke- AP (Music from the film Boogie)
    2. Pop Smoke- What You Know Bout Love
    3. Pop Smoke- He...","""This Is 50 Cent"" by Spotify:
    1. Pop Smoke- The Woo (feat. 50 Cent & Roddy Ricch)
    2. 50 Cent- In Da Club
    3. The Game- Hate It Or L...","""One Blood Under W"" by Wu-Tang Clan:
    Modern vampires of the city, hunting blood
    Blood, blood, blood
    You coulda from Rema, or ya come from...","""Candy Shop x Element"" by 50 Cent, Pop Smoke:
    I might just hit it raw, hold on, that's not my element
    I like dark skins, love her melanin
    Huh, Chr...","""This Is Pop Smoke"" by Spotify:
    1. Pop Smoke- AP (Music from the film Boogie)
    2. Pop Smoke- What You Know Bout Love
    3. Pop Smoke- He..."
6 Dogs,"""Faygo Dreams"" by 6 Dogs:
    (Dogs)
    
    Cream soda Faygo, damn, I'm still dreamin'
    They hate on me, I don't know the reason
    Finna wa...","""Saturn"" by 6 Dogs:
    On Saturn
    You a bouquet
    Yeah, yeah
    
    If flowers grew on Saturn
    My wallet would be fatter
    And when we ...","""When I Was a Baby"" by 6 Dogs:
    Yeah, yeah
    
    Dyed my hair green when I was sixteen
    Weird boy ballin', Dennis Rodman on the A-Team
    Day...","""Starfire (Teen Titans)"" by 6 Dogs:
    It's a memory, life is a memory
    Going quick, wake up, memory
    Yeah, in my room
    Da-da-da, yeah, yeah
    
    ...","""New Music Friday 04/20/18"" by Spotify:
    Ariana Grande - No Tears Left To Cry
    Khalid, 6LACK & Ty Dolla $ign - OTW
    J. Cole - 1985 (Intro to “T...","""Buttcheeks"" by 6 Dogs:
    Eyes wide open
    Drowning, I'm choking
    Worry 'bout a buttcheek
    Bitch, you can miss me
    Playing ukulele
    ...","""Beach House"" by 6 Dogs:
    Yeah, okay, okay
    Yeah, okay, okay
    
    Yeah, I need a vacation, I've been in the house, yeah
    I'ma get th...","""Drifting"" by Pretty Pacc & 6 Dogs:
    Ahh, I start to miss me, ahh, ahhh, ahh, drifting (yeah)
    
    Sometimes, even I start to miss me
    Empty h...","""Post Malone"" by 6 Dogs:
    Yeah, signs on my face like I'm Post Malone
    Yeah, I thought about you when I was home alone
    Yeah, I ...","""Someone"" by 6 Dogs:
    Captain Crunch presents
    6 Dogs
    (Skrr, skrr, skrr, skrr)
    
    Running through the guap like a drive-thru
    ..."
